iteration,reward_mean,length_mean,games,loss
243000,11.75,14.75,8,0.07646914571523666
244000,14.88,17.88,8,0.06249718368053436
245000,12.62,15.62,8,0.096538245677948
246000,13.75,16.75,8,0.062497109174728394
247000,17.62,20.62,8,0.1257370263338089
248000,14.75,17.75,8,0.06039317697286606
249000,11.12,14.12,8,0.06324344873428345
250000,15.5,18.5,8,0.029842862859368324
251000,8.25,11.25,8,0.05297839641571045
252000,12.62,15.62,8,0.05946151167154312
253000,21.75,24.75,8,0.055265117436647415
254000,9.12,12.12,8,0.04922325536608696
255000,12.5,15.5,8,0.05612781271338463
256000,12.88,15.88,8,0.04966188967227936
257000,10.5,13.5,8,0.04984669387340546
258000,7.75,10.75,8,0.03480764478445053
259000,13.5,16.5,8,0.032044462859630585
260000,11.5,14.5,8,0.05851687490940094
261000,13.25,16.25,8,0.11561879515647888
262000,19.88,22.88,8,0.0532093271613121
263000,11.25,14.25,8,0.04063846170902252
264000,15.62,18.62,8,0.10424771159887314
265000,18.75,21.75,8,0.029300328344106674
266000,12.38,15.38,8,0.047343023121356964
267000,19.25,22.25,8,0.05002596229314804
268000,12.75,15.75,8,0.02673204243183136
269000,4.88,7.88,8,0.07559698820114136
270000,12.0,15.0,8,0.09134136140346527
271000,9.0,11.7,10,0.1478264033794403
272000,13.25,16.25,8,0.18410758674144745
273000,15.62,18.62,8,0.05425997078418732
274000,15.0,18.0,8,0.04919470474123955
275000,11.12,14.12,8,0.18777073919773102
276000,12.12,15.12,8,0.04210883006453514
277000,15.88,18.88,8,0.07048217207193375
278000,11.0,14.0,8,0.027739806100726128
279000,11.5,14.5,8,0.040126144886016846
280000,15.88,18.88,8,0.1424846351146698
281000,13.25,16.25,8,0.049823082983493805
282000,15.0,18.0,8,0.028941188007593155
283000,12.38,15.38,8,0.059854697436094284
284000,14.38,17.38,8,0.15083836019039154
285000,20.5,23.5,8,0.04605914652347565
286000,17.88,20.88,8,0.01670912653207779
287000,16.12,19.12,8,0.07191090285778046
288000,15.75,18.75,8,0.06582607328891754
289000,21.25,24.25,8,0.11547361314296722
290000,15.75,18.75,8,0.044548630714416504
291000,14.25,17.25,8,0.17236344516277313
292000,15.12,18.12,8,0.2011248767375946
293000,11.5,14.5,8,0.056979209184646606
294000,14.0,17.0,8,0.0299157053232193
295000,15.88,18.88,8,0.04743989557027817
296000,13.75,16.75,8,0.034438516944646835
297000,14.25,17.25,8,0.17368091642856598
298000,20.25,23.25,8,0.025483138859272003
299000,14.75,17.75,8,0.09283054620027542
300000,14.25,17.25,8,0.04497634246945381
